nlist,nprobe,penetration,hit_rate
13,6,0.46153846153846156,0.9412742382271468
13,7,0.5384615384615384,0.942382271468144
13,8,0.6153846153846154,0.942382271468144
13,9,0.6923076923076923,0.942382271468144
13,10,0.7692307692307693,0.9429362880886426
13,11,0.8461538461538461,0.9429362880886426
13,12,0.9230769230769231,0.9429362880886426
13,13,1.0,0.9429362880886426
14,1,0.07142857142857142,0.718005540166205
14,2,0.14285714285714285,0.8781163434903048
14,3,0.21428571428571427,0.9102493074792244
14,4,0.2857142857142857,0.932409972299169
14,5,0.35714285714285715,0.939612188365651
14,6,0.42857142857142855,0.9418282548476454
14,7,0.5,0.9418282548476454
14,8,0.5714285714285714,0.9418282548476454
14,9,0.6428571428571429,0.942382271468144
14,10,0.7142857142857143,0.9429362880886426
14,11,0.7857142857142857,0.9429362880886426
14,12,0.8571428571428571,0.9429362880886426
14,13,0.9285714285714286,0.9429362880886426
14,14,1.0,0.9429362880886426
15,1,0.06666666666666667,0.7157894736842105
15,2,0.13333333333333333,0.8698060941828255
15,3,0.2,0.9096952908587258
15,4,0.26666666666666666,0.929639889196676
15,5,0.3333333333333333,0.9373961218836565
15,6,0.4,0.9407202216066483
15,7,0.4666666666666667,0.9418282548476454
15,8,0.5333333333333333,0.9429362880886426
15,9,0.6,0.9429362880886426
15,10,0.6666666666666666,0.9429362880886426
15,11,0.7333333333333333,0.9429362880886426
15,12,0.8,0.9429362880886426
15,13,0.8666666666666667,0.9429362880886426
15,14,0.9333333333333333,0.9429362880886426
15,15,1.0,0.9429362880886426
16,1,0.0625,0.7263157894736842
16,2,0.125,0.8698060941828255
16,3,0.1875,0.9130193905817174
16,4,0.25,0.9301939058171745
16,5,0.3125,0.9373961218836565
16,6,0.375,0.942382271468144
16,7,0.4375,0.942382271468144
16,8,0.5,0.942382271468144
16,9,0.5625,0.9429362880886426
16,10,0.625,0.9429362880886426
16,11,0.6875,0.9429362880886426
16,12,0.75,0.9429362880886426
16,13,0.8125,0.9429362880886426
16,14,0.875,0.9429362880886426
16,15,0.9375,0.9429362880886426
16,16,1.0,0.9429362880886426
17,1,0.058823529411764705,0.7157894736842105
17,2,0.11764705882352941,0.8448753462603878
17,3,0.17647058823529413,0.8975069252077562
17,4,0.23529411764705882,0.9196675900277008
17,5,0.29411764705882354,0.9335180055401662
17,6,0.35294117647058826,0.9373961218836565
17,7,0.4117647058823529,0.939612188365651
17,8,0.47058823529411764,0.9401662049861496
17,9,0.5294117647058824,0.9412742382271468
17,10,0.5882352941176471,0.9429362880886426
17,11,0.6470588235294118,0.9429362880886426
17,12,0.7058823529411765,0.9429362880886426
17,13,0.7647058823529411,0.9429362880886426
17,14,0.8235294117647058,0.9429362880886426
17,15,0.8823529411764706,0.9429362880886426
17,16,0.9411764705882353,0.9429362880886426
17,17,1.0,0.9429362880886426
18,1,0.05555555555555555,0.7152354570637119
18,2,0.1111111111111111,0.8603878116343491
18,3,0.16666666666666666,0.900831024930748
18,4,0.2222222222222222,0.9207756232686981
18,5,0.2777777777777778,0.9285318559556787
18,6,0.3333333333333333,0.935180055401662
18,7,0.3888888888888889,0.9385041551246538
18,8,0.4444444444444444,0.9407202216066483
18,9,0.5,0.9412742382271468
18,10,0.5555555555555556,0.942382271468144
18,11,0.6111111111111112,0.9429362880886426
18,12,0.6666666666666666,0.9429362880886426
18,13,0.7222222222222222,0.9429362880886426
18,14,0.7777777777777778,0.9429362880886426
18,15,0.8333333333333334,0.9429362880886426
18,16,0.8888888888888888,0.9429362880886426
18,17,0.9444444444444444,0.9429362880886426
18,18,1.0,0.9429362880886426
19,1,0.05263157894736842,0.7335180055401662
19,2,0.10526315789473684,0.8620498614958448
19,3,0.15789473684210525,0.9052631578947369
19,4,0.21052631578947367,0.9246537396121883
19,5,0.2631578947368421,0.9307479224376731
19,6,0.3157894736842105,0.9368421052631579
19,7,0.3684210526315789,0.9418282548476454
19,8,0.42105263157894735,0.9418282548476454
19,9,0.47368421052631576,0.942382271468144
19,10,0.5263157894736842,0.9429362880886426
19,11,0.5789473684210527,0.9429362880886426
19,12,0.631578947368421,0.9429362880886426
19,13,0.6842105263157895,0.9429362880886426
19,14,0.7368421052631579,0.9429362880886426
19,15,0.7894736842105263,0.9429362880886426
19,16,0.8421052631578947,0.9429362880886426
19,17,0.8947368421052632,0.9429362880886426
19,18,0.9473684210526315,0.9429362880886426
