nprobe,penetration,k,hit_rate
2,0.02,28,0.8864265927977839
2,0.02,29,0.8864265927977839
2,0.02,30,0.8864265927977839
2,0.02,31,0.8864265927977839
2,0.02,32,0.8864265927977839
2,0.02,33,0.8864265927977839
2,0.02,34,0.8864265927977839
2,0.02,35,0.8864265927977839
2,0.02,36,0.8864265927977839
2,0.02,37,0.8864265927977839
2,0.02,38,0.8864265927977839
2,0.02,39,0.8864265927977839
2,0.02,40,0.8864265927977839
2,0.02,41,0.8864265927977839
2,0.02,42,0.8864265927977839
2,0.02,43,0.8864265927977839
2,0.02,44,0.8864265927977839
2,0.02,45,0.8864265927977839
2,0.02,46,0.8864265927977839
2,0.02,47,0.8864265927977839
2,0.02,48,0.8864265927977839
2,0.02,49,0.8864265927977839
2,0.02,50,0.8864265927977839
3,0.03,1,0.9019390581717451
3,0.03,2,0.9052631578947369
3,0.03,3,0.9080332409972299
3,0.03,4,0.9085872576177285
3,0.03,5,0.9085872576177285
3,0.03,6,0.9085872576177285
3,0.03,7,0.9091412742382271
3,0.03,8,0.9096952908587258
3,0.03,9,0.9096952908587258
3,0.03,10,0.9102493074792244
3,0.03,11,0.9102493074792244
3,0.03,12,0.9102493074792244
3,0.03,13,0.9102493074792244
3,0.03,14,0.910803324099723
3,0.03,15,0.9113573407202216
3,0.03,16,0.9113573407202216
3,0.03,17,0.9113573407202216
3,0.03,18,0.9113573407202216
3,0.03,19,0.9113573407202216
3,0.03,20,0.9119113573407203
3,0.03,21,0.9119113573407203
3,0.03,22,0.9119113573407203
3,0.03,23,0.9119113573407203
3,0.03,24,0.9119113573407203
3,0.03,25,0.9119113573407203
3,0.03,26,0.9119113573407203
3,0.03,27,0.9124653739612189
3,0.03,28,0.9124653739612189
3,0.03,29,0.9124653739612189
3,0.03,30,0.9124653739612189
3,0.03,31,0.9124653739612189
3,0.03,32,0.9124653739612189
3,0.03,33,0.9124653739612189
3,0.03,34,0.9124653739612189
3,0.03,35,0.9124653739612189
3,0.03,36,0.9124653739612189
3,0.03,37,0.9124653739612189
3,0.03,38,0.9124653739612189
3,0.03,39,0.9124653739612189
3,0.03,40,0.9124653739612189
3,0.03,41,0.9124653739612189
3,0.03,42,0.9124653739612189
3,0.03,43,0.9124653739612189
3,0.03,44,0.9124653739612189
3,0.03,45,0.9124653739612189
3,0.03,46,0.9124653739612189
3,0.03,47,0.9124653739612189
3,0.03,48,0.9124653739612189
3,0.03,49,0.9124653739612189
3,0.03,50,0.9124653739612189
4,0.04,1,0.9152354570637119
4,0.04,2,0.9191135734072022
4,0.04,3,0.9218836565096953
4,0.04,4,0.9235457063711912
