num_index_per_subject,M,ef_construction,ef_search,index_build_time,hit_rate,avg_time_ms,total_queries
1,32,300,300,0.0003,0.4444444444444444,0.0346,90
1,32,300,400,0.0004,0.4444444444444444,0.0363,90
1,32,300,500,0.0003,0.4444444444444444,0.0309,90
1,32,400,100,0.0003,0.4444444444444444,0.0369,90
1,32,400,200,0.0003,0.4444444444444444,0.0357,90
1,32,400,300,0.0004,0.4444444444444444,0.0407,90
1,32,400,400,0.0004,0.4444444444444444,0.0364,90
1,32,400,500,0.0004,0.4444444444444444,0.0389,90
1,32,500,100,0.0004,0.4444444444444444,0.0320,90
1,32,500,200,0.0003,0.4444444444444444,0.0368,90
1,32,500,300,0.0003,0.4444444444444444,0.0350,90
1,32,500,400,0.0004,0.4444444444444444,0.0367,90
1,32,500,500,0.0004,0.4444444444444444,0.0414,90
1,48,100,100,0.0003,0.4444444444444444,0.0296,90
1,48,100,200,0.0003,0.4444444444444444,0.0295,90
1,48,100,300,0.0003,0.4444444444444444,0.0268,90
1,48,100,400,0.0003,0.4444444444444444,0.0263,90
1,48,100,500,0.0003,0.4444444444444444,0.0310,90
1,48,200,100,0.0003,0.4444444444444444,0.0260,90
1,48,200,200,0.0003,0.4444444444444444,0.0297,90
1,48,200,300,0.0003,0.4444444444444444,0.0297,90
1,48,200,400,0.0004,0.4444444444444444,0.0298,90
1,48,200,500,0.0004,0.4444444444444444,0.0295,90
1,48,300,100,0.0003,0.4444444444444444,0.0259,90
1,48,300,200,0.0003,0.4444444444444444,0.0260,90
1,48,300,300,0.0003,0.4444444444444444,0.0311,90
1,48,300,400,0.0003,0.4444444444444444,0.0285,90
1,48,300,500,0.0003,0.4444444444444444,0.0269,90
1,48,400,100,0.0003,0.4444444444444444,0.0265,90
1,48,400,200,0.0004,0.4444444444444444,0.0295,90
1,48,400,300,0.0003,0.4444444444444444,0.0324,90
1,48,400,400,0.0003,0.4444444444444444,0.0301,90
1,48,400,500,0.0003,0.4444444444444444,0.0339,90
1,48,500,100,0.0003,0.4444444444444444,0.0257,90
1,48,500,200,0.0003,0.4444444444444444,0.0303,90
1,48,500,300,0.0003,0.4444444444444444,0.0260,90
1,48,500,400,0.0003,0.4444444444444444,0.0308,90
1,48,500,500,0.0003,0.4444444444444444,0.0275,90
1,64,100,100,0.0003,0.4444444444444444,0.0302,90
1,64,100,200,0.0003,0.4444444444444444,0.0282,90
1,64,100,300,0.0003,0.4444444444444444,0.0293,90
1,64,100,400,0.0003,0.4444444444444444,0.0285,90
1,64,100,500,0.0003,0.4444444444444444,0.0263,90
1,64,200,100,0.0003,0.4444444444444444,0.0296,90
1,64,200,200,0.0003,0.4444444444444444,0.0257,90
1,64,200,300,0.0003,0.4444444444444444,0.0282,90
1,64,200,400,0.0003,0.4444444444444444,0.0304,90
1,64,200,500,0.0003,0.4444444444444444,0.0263,90
1,64,300,100,0.0003,0.4444444444444444,0.0298,90
1,64,300,200,0.0003,0.4444444444444444,0.0301,90
1,64,300,300,0.0003,0.4444444444444444,0.0324,90
1,64,300,400,0.0003,0.4444444444444444,0.0347,90
1,64,300,500,0.0003,0.4444444444444444,0.0297,90
1,64,400,100,0.0003,0.4444444444444444,0.0289,90
1,64,400,200,0.0003,0.4444444444444444,0.0298,90
1,64,400,300,0.0003,0.4444444444444444,0.0353,90
1,64,400,400,0.0003,0.4444444444444444,0.0285,90
1,64,400,500,0.0003,0.4444444444444444,0.0344,90
1,64,500,100,0.0003,0.4444444444444444,0.0337,90
1,64,500,200,0.0003,0.4444444444444444,0.0263,90
1,64,500,300,0.0003,0.4444444444444444,0.0329,90
1,64,500,400,0.0003,0.4444444444444444,0.0328,90
1,64,500,500,0.0003,0.4444444444444444,0.0310,90
2,16,100,100,0.0013,0.6375,0.0809,80
2,16,100,200,0.0012,0.6375,0.0789,80
2,16,100,300,0.0012,0.6375,0.0772,80
2,16,100,400,0.0011,0.6375,0.0700,80
2,16,100,500,0.0012,0.6375,0.0633,80
2,16,200,100,0.0013,0.6375,0.0621,80
2,16,200,200,0.0012,0.6375,0.0695,80
2,16,200,300,0.0013,0.6375,0.0790,80
2,16,200,400,0.0012,0.6375,0.0791,80
2,16,200,500,0.0012,0.6375,0.0692,80
2,16,300,100,0.0012,0.6375,0.0704,80
2,16,300,200,0.0013,0.6375,0.0711,80
2,16,300,300,0.0013,0.6375,0.0785,80
2,16,300,400,0.0012,0.6375,0.0626,80
2,16,300,500,0.0013,0.6375,0.0615,80
2,16,400,100,0.0013,0.6375,0.0613,80
2,16,400,200,0.0011,0.6375,0.0701,80
2,16,400,300,0.0012,0.6375,0.0676,80
2,16,400,400,0.0011,0.6375,0.0609,80
2,16,400,500,0.0011,0.6375,0.0687,80
2,16,500,100,0.0012,0.6375,0.0794,80
2,16,500,200,0.0012,0.6375,0.0645,80
2,16,500,300,0.0012,0.6375,0.0682,80
2,16,500,400,0.0012,0.6375,0.0740,80
2,16,500,500,0.0011,0.6375,0.0689,80
2,32,100,100,0.0012,0.6375,0.0735,80
2,32,100,200,0.0012,0.6375,0.0777,80
2,32,100,300,0.0012,0.6375,0.0799,80
2,32,100,400,0.0012,0.6375,0.0793,80
2,32,100,500,0.0012,0.6375,0.0726,80
2,32,200,100,0.0011,0.6375,0.0691,80
2,32,200,200,0.0012,0.6375,0.0650,80
2,32,200,300,0.0011,0.6375,0.0678,80
2,32,200,400,0.0013,0.6375,0.0634,80
2,32,200,500,0.0013,0.6375,0.0848,80
2,32,300,100,0.0012,0.6375,0.0790,80
2,32,300,200,0.0013,0.6375,0.0831,80
2,32,300,300,0.0013,0.6375,0.0801,80
2,32,300,400,0.0013,0.6375,0.0839,80
2,32,300,500,0.0013,0.6375,0.0643,80
2,32,400,100,0.0011,0.6375,0.0693,80
2,32,400,200,0.0013,0.6375,0.0623,80
2,32,400,300,0.0012,0.6375,0.0800,80
