date,time,num_index_per_subject,M,ef_construction,ef_search,index_build_time,hit_rate,avg_time_ms,total_queries
2026-03-16,20:26:15,3,48,900,500,0.1460,0.7057142857142857,1.1231,350
2026-03-16,20:26:15,3,16,400,1000,0.2608,0.7057142857142857,2.0854,350
2026-03-16,20:26:15,3,48,400,700,0.2666,0.7057142857142857,1.0771,350
2026-03-16,20:26:15,3,48,500,700,0.0778,0.7057142857142857,1.1281,350
2026-03-16,20:26:15,3,48,700,500,0.1502,0.7057142857142857,1.1426,350
2026-03-16,20:26:15,3,48,1000,500,0.1484,0.7057142857142857,1.1257,350
2026-03-16,20:26:15,3,16,800,900,0.2746,0.7057142857142857,1.9895,350
2026-03-16,20:26:15,3,48,200,1000,0.1403,0.7057142857142857,1.1047,350
2026-03-16,20:26:15,3,16,1000,900,0.2739,0.7057142857142857,1.9999,350
2026-03-16,20:26:15,3,64,300,200,0.0908,0.7057142857142857,0.9110,350
2026-03-16,20:26:15,3,48,100,600,0.2460,0.7057142857142857,1.9547,350
2026-03-16,20:26:15,3,48,800,800,0.1444,0.7057142857142857,0.7806,350
2026-03-16,20:26:15,3,64,100,200,0.2571,0.7057142857142857,1.8760,350
2026-03-16,20:26:15,3,16,500,900,0.2806,0.7057142857142857,1.9716,350
2026-03-16,20:26:15,3,64,200,300,0.1493,0.7057142857142857,1.0871,350
2026-03-16,20:26:15,3,48,300,500,0.2546,0.7057142857142857,1.8582,350
2026-03-16,20:26:15,3,48,700,600,0.1502,0.7057142857142857,0.9742,350
2026-03-16,20:26:15,3,48,400,800,0.2666,0.7057142857142857,1.0296,350
2026-03-16,20:26:15,3,48,900,600,0.1460,0.7057142857142857,1.0932,350
2026-03-16,20:26:15,3,48,500,800,0.0778,0.7057142857142857,1.0970,350
2026-03-16,20:26:15,3,48,1000,600,0.1484,0.7057142857142857,1.0920,350
2026-03-16,20:26:15,3,48,800,900,0.1444,0.7057142857142857,0.7237,350
2026-03-16,20:26:15,3,32,100,1000,0.2342,0.7057142857142857,1.8659,350
2026-03-16,20:26:15,3,64,200,400,0.1493,0.7057142857142857,1.0595,350
2026-03-16,20:26:15,3,32,400,1000,0.2041,0.7057142857142857,1.8622,350
2026-03-16,20:26:15,3,48,600,800,0.0792,0.7057142857142857,1.8569,350
2026-03-16,20:26:15,3,64,400,100,0.0962,0.7057142857142857,0.8285,350
2026-03-16,20:26:15,3,48,800,1000,0.1444,0.7057142857142857,0.6496,350
2026-03-16,20:26:15,3,64,300,300,0.0908,0.7057142857142857,1.7075,350
2026-03-16,20:26:15,3,48,400,900,0.2666,0.7057142857142857,0.9049,350
2026-03-16,20:26:15,3,48,700,700,0.1502,0.7057142857142857,0.9486,350
2026-03-16,20:26:15,3,16,800,1000,0.2746,0.7057142857142857,1.8887,350
